Color;VehicleModel;VehicleDesc;ModelYear;VehicleType;DateStolen;Location
Silver;Trailer;BST2021D;2021;Trailer;05/11/21;Wanaka
Silver;Trailer;OUTBACK BOATS FT470;2021;Boat Trailer;13/12/21;Eastbourne
Silver;Trailer;ASD JETSKI;2021;Boat Trailer;13/02/22;Auckland
Silver;Trailer;MSC 7X4;2021;Trailer;13/11/21;Carterton
Silver;Trailer;D-MAX 8X5;2018;Trailer;10/01/22;Wanaka
Black;Yamaha;YZF-R6T;2005;Roadbike;31/12/21;Manukau
Silver;Trailer;CAAR TRANSPORTER;2021;Trailer;12/11/21;Canterbury Bight
Silver;Trailer;BOAT;2001;Boat Trailer;22/02/22;Wellington
Silver;Briford;"7X4'6"" 1000KG";2021;Trailer;25/02/22;South Invercargill
Silver;Briford;8X4 TANDEM;2020;Trailer;03/01/22;Canterbury Bight
Silver;Trailer;HOMEBUILT;2018;Trailer;15/10/21;Carterton
Silver;Factory Built;BRENT SMITH TRAILERS;2018;Trailer;28/02/22;Wanaka
Black;Vespa;ET2;2004;Moped;19/12/21;Auckland
Blue;Honda;TODAY;2007;Moped;23/01/22;Auckland
Black;Suzuki;DL650;2007;Roadbike;28/02/22;Northland
Silver;Trailer;JOBMATE;2021;Trailer;08/02/22;Wellington
Silver;Trailer;BSTB85B;2021;Trailer;10/10/21;Auckland
White;Trailer;BOAT;2004;Boat Trailer;07/10/21;Bay of Plenty
White;Trailer;DOMESTIC TRAILER;2014;Trailer;24/02/22;Bay of Plenty
Silver;Trailer;APS SEADOO;2018;Boat Trailer;08/11/21;Canterbury Bight
Silver;Triumph;THUNDERBIRD;2002;Roadbike;11/02/22;Northland
Silver;Factory Built;BRENT SMITH TRAILERS;2000;Trailer;22/11/21;Bay of Plenty
Silver;Trailer;LOCAL;2015;Trailer;27/01/22;Canterbury Bight
Silver;Trailer;CT DIG 25;2021;Trailer - Heavy;12/11/21;Wanaka
Silver;Trailer;CHOOKS 2.4X1.6 TRANS;2018;Trailer;08/10/21;Carterton
Silver;Trailer;EASY TILT;2017;Trailer;04/03/22;Carterton
Silver;Trailer;IFOR WILLIAMS CT177;2018;Trailer;27/02/22;Wakatipu L.
Silver;Trailer;CONDOR;2018;Trailer;01/02/22;Wellington
Silver;Trailer;HOMEBUILT;2018;Trailer;01/11/21;Bay of Plenty
Silver;Trailer;PRO COMMERCIAL;2018;Trailer;21/12/21;Auckland
Grey;Trailer;FACTORY;2018;Trailer;03/01/22;Manukau
Green;Homebuilt;TRAILER;1998;Trailer;21/10/21;Canterbury Bight
Grey;Trailer;JFK JETSKI;2017;Boat Trailer;15/02/22;Bay of Plenty
Silver;Trailer;BST 2021D;2021;Trailer;05/01/22;Auckland
Silver;Briford;10X5 TANDEM;2021;Trailer;05/04/22;Canterbury Bight
Grey;Trailer;HOMEMADE;2018;Trailer;17/02/22;Wakatipu L.
Silver;Trailer;COMPASS-KH63;2018;Trailer;23/02/22;Manukau
Silver;Trailer;TRAYLA;2018;Trailer;17/01/22;Wellington
Silver;Trailer;PRESCOTT;2021;Trailer - Heavy;03/12/21;Bay of Plenty
Black;Homebuilt;TRAILER;2021;Trailer;27/12/21;Wellington
Silver;Trailer;TRAYLA;2021;Trailer;02/03/22;Carterton
Silver;Trailer;HOMEMADE;2002;Trailer;02/01/22;Wanaka
Silver;Trailer;BST58OR;2018;Boat Trailer;24/02/22;Manukau
Silver;Homebuilt;TRAILER;2018;Trailer;28/02/22;Canterbury Bight
Silver;Trailer;DOMESTIC TRAILER;2014;Trailer;19/10/21;Bay of Plenty
Silver;Factory Built;TGB PALIO;2005;Moped;09/11/21;Carterton
Grey;Trailer;TANDEM;2004;Trailer - Heavy;05/11/21;Manukau
Silver;Custombuilt;TRAILER;2021;Trailer;02/03/22;Auckland
Grey;Trailer;DOMESTIC;2021;Trailer;22/10/21;Manukau
Silver;Trailer;M J TANDEM AXLE;2021;Trailer;20/01/22;Canterbury Bight
Silver;Briford;8X4 CAGE;2021;Trailer;07/12/21;Auckland
White;Elddis;RIVIERA 482;2003;Caravan;13/10/21;Canterbury Bight
Blue;Yamaha;XTZ660BG;1995;Roadbike;21/03/22;Tasman B.
Green;Kawasaki;NINJA;1999;Roadbike;15/02/22;Bay of Plenty
Silver;Trailer;PRESCOTT;2021;Trailer - Heavy;06/02/22;Bay of Plenty
Yellow;Trailer;BRIFORD;2000;Trailer - Heavy;05/03/22;Manukau
Silver;Trailer;ASD JETSKI;2021;Boat Trailer;21/02/22;Auckland
Yellow;Trailer;BRIFORD 8X4'6COVERED;1997;Trailer;05/11/21;Eastbourne
Black;Trailer;HOMEBUILT;2021;Trailer;06/03/22;Auckland
Red;Trailer;OLEARY;1983;Trailer;02/01/22;Carterton
Silver;Trailer;TRAILERWORLD 9X5 HSB;2021;Trailer;26/03/22;Wanaka
Silver;Trailer;SINGLE AXLE;2018;Trailer;10/10/21;Auckland
Yellow;Honda;TODAY 50;2008;Moped;19/12/21;Bay of Plenty
Black;Trailer;IFOR WILLIAMS;2018;Trailer;06/01/22;Bay of Plenty
Silver;Trailer;PRESCOTT;2014;Trailer;24/03/22;Bay of Plenty
Silver;Trailer;SPORTLINE;2014;Boat Trailer;21/10/21;Eastbourne
Blue;Ford;FOCUS;2006;Hatchback;13/11/21;Eastbourne
